Season,Squad,Points,SoTA,Saves,Save%,CS%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,npxG/Sh,PAtt,Cmp%,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,SCA,GCA,TklW,DC,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Att,Succ,Succ%,PrgDist,PrgC,PrgR
2023-2024,Arsenal,0,2.22,1.41,64.8,43.8,0.81,0.03,0,0.19,0.03,0.67,0.28,-0.11,2.22,16.4,5.28,32.1,0.12,0.37,1.97,1.75,0.11,606.7,84.8,1.56,1.38,1.5,12.9,14.1,1.88,56.1,29.9,3.88,8.94,13.9,51.9,6.69,11.2,2.81,8.38,7.19,22.9,13.5,0.47,709.7,17.8,7.44,41.7,1108.2,21.9,55.6
2023-2024,Aston Villa,0,4.21,2.82,64.7,24.2,1.48,0,0.03,0.3,0.09,1.54,0.38,0.15,1.97,13.9,5,36,0.13,0.37,1.69,1.6,0.12,519.7,83.4,1.45,1.26,1.14,10.7,9.79,1.97,40.2,24.9,3.58,8.42,14.6,48.8,7.48,10.4,2.82,7.61,6.58,21.2,15.8,0.3,618.3,20.3,9.3,45.9,1120.4,21.3,39.8
2023-2024,Bournemouth,0,5.16,3.38,68.5,21.9,1.78,0.16,0.03,0.19,0.03,1.69,0.3,-0.06,1.44,14,4.63,33,0.1,0.3,1.47,1.42,0.1,428.8,74.6,1.09,1.08,0.92,10.8,9.5,2.44,35.7,24.8,2.31,10.9,18.2,48.9,9.31,12.8,3.69,9.13,9.16,27.9,21.5,0.41,555.1,23.4,10.3,44.1,914.6,18.5,35.3
2023-2024,Brentford,0,5.03,3.27,66.3,18.2,1.76,0.06,0,0.15,0,1.55,0.3,-0.21,1.36,12.5,4.09,32.8,0.1,0.31,1.56,1.49,0.12,437,74.2,0.91,1.13,1.05,8.64,8.76,2.76,33.6,21.1,2,10.7,18.8,46,10.1,12.2,3.7,8.55,9.97,27.9,24.1,0.42,553,14.8,6.21,41.9,726.5,12.5,33.4
2023-2024,Brighton,0,4.22,2.72,67.4,15.6,1.56,0.19,0,0.22,0.06,1.37,0.29,-0.13,1.47,14.9,5.59,37.5,0.09,0.23,1.51,1.4,0.1,678.7,87.3,1.09,1.11,1.14,11.5,10.3,2.06,49.3,27.1,2.66,9.47,17.1,45.5,9.31,11.5,3.66,7.88,7.72,24.1,15.8,0.59,787.2,19.3,7.91,40.9,1322.5,22.8,48.9
2023-2024,Burnley,0,5.97,4,68.5,6.1,2.06,0.18,0,0.33,0.09,1.87,0.29,-0.1,0.97,10.8,3.36,31.3,0.08,0.27,1.02,0.97,0.09,467.5,77.1,0.73,0.76,0.7,8.09,5.58,1.36,30.3,19,1.85,9.03,15.8,48.2,8.21,12.5,4.39,8.09,7.09,23.1,21.9,0.55,577.2,18.7,8.21,43.9,908.4,18.3,29.8
2023-2024,Chelsea,0,5.03,3.35,68.6,19.4,1.68,0.1,0,0.23,0.03,1.46,0.27,-0.19,1.94,13.7,4.94,35.9,0.12,0.32,1.96,1.65,0.12,617.4,85.4,1.26,1.31,1.13,10.7,9.71,1.42,42.9,25.2,3.45,10,16.5,51.7,7.97,12,4.29,7.74,7.94,25.4,19.8,0.65,731.4,22.5,10,44.7,1176.6,22.9,42.4
2023-2024,Crystal Palace,0,4.28,2.63,62.8,21.9,1.69,0.09,0,0.22,0.03,1.36,0.3,-0.29,1.16,11.1,3.81,34.5,0.09,0.27,1.17,1.07,0.1,426.4,76.3,0.88,0.93,0.78,8.66,6.59,1.5,29.3,19.4,2.13,11.5,16,53.9,7.38,12.2,3.5,8.66,8.56,28.6,25.9,0.16,548,18.5,8.72,47.1,693.6,12.8,28.9
2023-2024,Everton,0,4.38,2.97,71.4,28.1,1.5,0.25,0,0.28,0.09,1.43,0.28,0.02,1,13.6,4.09,30.2,0.07,0.24,1.48,1.43,0.11,407.4,73,0.44,1.05,0.82,9.16,7.91,2.19,30.6,22.8,1.41,11.6,19.3,48.1,10,12.6,4.31,8.25,9.75,29.3,22,0.31,526,15,6.66,44.5,683.4,13.3,30.3
2023-2024,Fulham,0,4.91,3.48,72.2,27.3,1.55,0.18,0,0.06,0.12,1.4,0.25,-0.02,1.45,13.5,4.73,35,0.1,0.29,1.41,1.36,0.1,538.8,80.9,1.06,1.04,0.92,10.3,9.79,2.55,40.2,23.7,2.55,10.1,17.8,50.7,8.79,11.3,3.12,8.21,10.3,27.9,19.3,0.36,646.6,14.9,7.36,49.3,1006.1,17.8,39.8
2023-2024,Liverpool,0,3.59,2.69,73.9,28.1,0.97,0.03,0,0.16,0.06,0.98,0.27,0.07,2.13,20,6.53,32.6,0.1,0.3,2.29,2.07,0.11,637.4,83.3,1.63,1.68,1.43,15.4,12.8,1.97,54.3,35.7,3.47,10.9,20.1,44.4,11.2,12.7,2.84,9.88,7.66,25.3,15.8,0.41,754,20,8.81,44.1,1274.4,24.2,53.8
2023-2024,Luton Town,0,5.76,3.76,64.7,6.1,2.12,0.09,0,0.3,0.12,1.98,0.34,-0.02,1.3,11.4,3.45,30.3,0.1,0.34,1.15,1.06,0.1,394,72.5,0.91,0.82,0.77,8.52,6.27,2.24,28.5,19.9,2.12,9.67,16.3,47.3,8.61,13.2,4.97,8.18,8.82,25.8,24.2,0.48,514.8,20.2,9.24,45.7,785.6,17.9,28
2023-2024,Manchester City,0,2.97,2,69.5,28.1,1,0.09,0,0.06,0.03,1,0.31,0.03,2.31,18.4,6.84,37.1,0.12,0.32,2.1,1.96,0.11,729.6,88.3,1.69,1.61,1.68,14.8,13.3,1.84,55.8,34.2,4.13,8,11.8,50.3,5.88,8.84,2.13,6.72,6.03,19.4,12.6,0.5,826.8,19.8,10.5,53.2,1571.1,31.1,55.1
2023-2024,Manchester Utd,0,5.25,3.78,75,25,1.5,0.19,0.03,0.28,0.03,1.55,0.27,0.08,1.47,13.8,4.5,32.5,0.09,0.29,1.48,1.33,0.1,507.5,80.3,0.94,1.04,0.89,10.9,8.78,1.34,39.4,25,2.47,10.7,18.9,47.6,9.91,14.5,5.56,8.94,8.28,25.9,24.1,0.28,625.2,18.3,8,43.8,1026.6,19.4,39
2023-2024,Newcastle Utd,0,5.06,3.44,70.4,31.3,1.63,0.13,0.03,0.13,0.03,1.67,0.31,0.08,2.13,13.8,4.91,35.4,0.14,0.39,1.92,1.75,0.13,519,81.3,1.38,1.27,1.11,10.7,10.1,2.06,40.2,24.8,3.63,10.1,18,42.2,10.4,12.9,3.81,9.13,7.38,24.6,18.4,0.44,628.1,18.8,9.06,48.2,950.9,18.7,40
2023-2024,Nott'ham Forest,0,4.27,2.58,61,12.1,1.76,0.09,0.03,0.42,0.06,1.22,0.27,-0.47,1.27,11.5,3.76,32.5,0.11,0.33,1.28,1.26,0.11,412.2,75.6,1.09,0.98,0.71,8.18,6.15,1.45,29.5,19.9,2.33,11,15.6,53.1,7.33,13.3,4.48,8.79,8.58,27.6,26.1,0.33,530.8,16.5,7.55,45.6,750.9,15.2,29
2023-2024,Sheffield Utd,0,6.72,4.28,62.3,3.1,2.63,0.09,0,0.38,0.19,2.13,0.31,-0.3,0.81,8.81,2.88,32.6,0.08,0.24,0.93,0.84,0.1,345.4,69.3,0.47,0.61,0.5,6.13,5.03,1.22,21.7,14.4,1.25,11.1,17.3,46.1,9.31,13.8,4.78,8.97,9.09,28.1,29.1,0.56,463.6,15.1,6.5,43.2,504.1,8.5,21.5
2023-2024,Tottenham,0,4.34,2.88,69.1,18.8,1.53,0.19,0.03,0.22,0.06,1.62,0.33,0.15,1.88,15.3,5.44,35.6,0.12,0.34,1.73,1.71,0.11,635.9,85.2,1.59,1.48,1.42,12.1,12,1.59,54.9,27.7,3.31,12.2,18.8,52.4,8.97,11.9,3.56,8.38,9.47,28.9,19.7,0.63,752.2,21.8,9.75,44.7,1235.8,25.4,54.7
2023-2024,West Ham,0,6.03,4.27,74.9,15.2,1.76,0.24,0,0.12,0.06,1.85,0.26,0.15,1.55,11.8,3.79,32.1,0.12,0.38,1.39,1.27,0.11,436.9,76.6,1.09,0.92,0.83,8.15,6.03,1.88,33.1,20.8,2.76,11.2,15.5,52.1,7.42,13.1,4.73,8.36,9.67,27.5,24,0.27,556.2,19.6,9.21,47.1,775.4,14.9,32.6
2023-2024,Wolves,0,4.81,3.25,70.8,15.6,1.59,0.19,0.03,0.16,0.03,1.74,0.33,0.17,1.34,11.6,4.06,34.9,0.1,0.3,1.32,1.23,0.11,501.2,80.6,1.06,0.91,0.78,8.81,6.78,1.78,31.6,20.3,2.34,11.2,15.8,52.3,7.53,13,4.28,8.75,7.97,27.1,22.4,0.47,616,22.2,11.1,50.1,995.2,18.6,31.1
