Season,Squad,Points,SoTA,Saves,Save%,CS%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,npxG/Sh,PAtt,Cmp%,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,SCA,GCA,TklW,DC,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Att,Succ,Succ%,PrgDist,PrgC,PrgR
2017-2018,Arsenal,63,3.87,2.47,68.7,34.2,1.34,0.13,0,0.16,0,1.27,0.29,-0.07,1.92,15.5,5.87,37.9,0.12,0.31,1.8,1.69,0.11,663,82.9,1.61,1.4,1.45,11.7,12.6,1.29,58.5,28.4,3.45,11.2,5.74,37.5,9.55,9.79,2.71,7.08,11.2,27.6,23.1,0.87,767,14.4,10.1,70,1324.9,24.1,58.2
2017-2018,Bournemouth,44,4.47,2.87,65.3,15.8,1.61,0.05,0.05,0.18,0.03,1.44,0.31,-0.14,1.18,12.2,4.03,33.1,0.09,0.27,1.02,0.96,0.08,472.7,74.9,0.95,0.77,0.8,9.16,7.66,1.76,40.2,21.3,2.18,8.53,5.21,37.7,8.61,11.9,4.21,7.71,9.66,23.1,29.7,0.66,585.3,16.8,9.03,53.8,868.9,18.5,39.6
2017-2018,Brighton,40,4.53,3.18,69.2,26.3,1.42,0.03,0.03,0.39,0.13,1.28,0.28,-0.01,0.87,9.92,2.89,29.2,0.07,0.25,0.97,0.84,0.09,430.8,72.3,0.66,0.69,0.59,7.45,5.08,1.71,32.4,18,1.58,10,5.39,31.9,11.5,11.3,5,6.32,11.8,27.6,31.1,0.47,538.9,12.8,7.87,61.4,767.9,13.8,32
2017-2018,Burnley,54,4.21,3.18,77.5,31.6,1.03,0.08,0,0.11,0.03,1.24,0.28,0.24,0.92,9.95,3.32,33.3,0.09,0.28,0.85,0.85,0.09,403.7,68.6,0.68,0.62,0.62,7.32,5.61,2.34,29,17.5,1.53,9.34,5.37,36.9,9.18,12,5.03,7,10.5,24.6,34.2,0.21,511.9,9.08,5.74,63.2,585.8,11.3,28.7
2017-2018,Chelsea,70,3.08,2.13,69.2,42.1,1,0.05,0,0.05,0.05,0.92,0.29,-0.02,1.58,15.9,5.53,34.8,0.09,0.27,1.43,1.37,0.09,607.9,82.1,1.11,1.09,1.14,12.7,10.5,1.95,52.6,29.3,2.89,11.2,5.47,37.8,9,9.61,2.82,6.79,11.2,27.9,22.2,0.63,714.9,19.3,13.5,69.9,1359.4,27.5,51.8
2017-2018,Crystal Palace,44,4.47,3.08,68.8,23.7,1.45,0.05,0.03,0.29,0.05,1.36,0.3,-0.04,1.16,12.3,3.53,28.8,0.08,0.27,1.41,1.21,0.1,424.1,73.3,0.68,0.88,0.75,8.71,7.18,1.53,34.4,21.9,2.05,11.8,6.84,39,10.7,12.3,3.08,9.18,14.5,32.6,29.2,0.58,546.8,18.9,12.6,66.7,816.4,19.1,34.1
2017-2018,Everton,49,4.68,3.13,69.1,26.3,1.53,0.08,0,0.16,0,1.48,0.3,-0.05,1.11,9.24,2.89,31.3,0.11,0.34,1.07,0.9,0.1,433.5,72.6,0.68,0.65,0.64,6.92,5.55,1.84,30.6,16.6,1.87,11.8,5.87,36.4,10.2,11.2,4.21,7,13.5,30.5,34.4,0.58,552.5,12.1,6.95,57.3,701.3,12.6,30.3
2017-2018,Huddersfield,37,4.16,2.61,65.8,26.3,1.53,0.11,0,0.16,0.03,1.36,0.3,-0.14,0.66,9.47,2.79,29.4,0.06,0.22,0.82,0.78,0.08,442.7,71.5,0.5,0.62,0.52,6.84,4.74,2.03,31.8,16.3,1.18,13.2,6.55,39.5,10,11.9,3.11,8.82,13.6,33.2,29.7,0.58,561.6,12.9,7.26,56.2,773.2,16.5,31.3
2017-2018,Leicester City,47,4.32,2.74,64.6,23.7,1.58,0.05,0.08,0.29,0.05,1.33,0.29,-0.2,1.39,11,3.61,32.9,0.12,0.35,1.32,1.19,0.11,450.6,72.2,1,0.92,0.82,7.82,5.92,1.89,33.4,19.2,2.47,11,5.47,33.8,10.7,12.2,3.42,8.82,10.9,27.5,26.5,0.45,561.1,18.9,11.1,58.8,853.7,17.2,32.9
2017-2018,Liverpool,75,2.74,1.68,67.3,44.7,1,0.11,0,0.13,0,0.96,0.3,-0.04,2.16,16.7,5.95,35.6,0.13,0.35,1.92,1.86,0.11,655.3,81.8,1.53,1.39,1.26,12.8,12.2,1.76,58.8,30,3.79,11.8,5.16,37.6,8.55,10.2,1.87,8.34,9.97,26.7,20.7,0.32,756.8,17.2,11.6,67.5,1276.2,25.8,58.4
